"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,48,기타,기타,기타,기타,"330815.19","347450.6906",EPSG:5186,132322
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330828.4488","347461.295",EPSG:5186,132323
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,50,기타,기타,기타,기타,"330768.9777","347408.7322",EPSG:5186,132324
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330753.8342","347392.9273",EPSG:5186,132326
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"330449.3221","346867.2759",EPSG:5186,132329
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,36,기타,기타,기타,기타,"330437.5991","346855.4323",EPSG:5186,132330
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"330430.3755","346848.6024",EPSG:5186,132331
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330424.7469","346843.0356",EPSG:5186,132332
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330418.0899","346837.3678",EPSG:5186,132333
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,54,기타,기타,기타,기타,"330411.1277","346831.4635",EPSG:5186,132334
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,36,기타,기타,기타,기타,"330474.2766","346894.9854",EPSG:5186,132336
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330491.0375","346916.3551",EPSG:5186,132337
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330486.1815","346909.6936",EPSG:5186,132338
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,36,기타,기타,기타,기타,"330480.4085","346902.373",EPSG:5186,132339
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,36,기타,기타,기타,기타,"330496.1128","346923.5413",EPSG:5186,132340
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330506.7803","346939.565",EPSG:5186,132341
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330500.5577","346969.1208",EPSG:5186,132347
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330380.5652","346834.4488",EPSG:5186,132348
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330373.3746","346829.4403",EPSG:5186,132349
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330366.2675","346824.2634",EPSG:5186,132350
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330494.9662","346960.2533",EPSG:5186,132351
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330517.7669","347001.5055",EPSG:5186,132352
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,34,기타,기타,기타,기타,"330513.3666","346992.7684",EPSG:5186,132353
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330504.6202","346975.9462",EPSG:5186,132354
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,34,기타,기타,기타,기타,"330508.7545","346983.6534",EPSG:5186,132355
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330541.6391","347057.132",EPSG:5186,132356
